Abonnement	Subscripton
Stillingsdatabase	Vacancy databse
Stillingslister	Job advertisements
Stillingsplassering 	Job placements
Stipend	Scholarship, grant
Straffeansvar 	Criminal liability
Straffesak	Criminalcase
Streik 	Strike
Studieavgift	Tuition fees
Studieretning	Area of study
Studieveiledning	Study guidance
Stønad	Benefit
Stønadsvilkår 	Coditions for receiving benefits
Stønadssatser	Benefit rates
Stønadsmottaker	Benefit recipient
Stønad til arbeidstrening	Occupational training allowance
Stønad til barnetilsyn	Child care benefit
Stønad til boutgifter	Housing benefit
Stønad til daglige reiser	Daily travel benefit
Stønad til enslige foreldre 	Single parent benefit
Stønad til etterlatte	Survivor benefit
Stønad til fadder/ praktisk hjelp	Practical assistance benefit
Stønad til flytteutgifter	Relocation benefit
Stønad til gjenlevende ektefelle 	Surviving spouse benefit
Stønad til hjemreise	Travel allowance for journeys home
Stønad til husholdsutgifter	Household expanses allowance
Stønad til skolemateriell 	School materials benefit
Stønad ved arbeidsledighet 	Unemployment benefit
Stønad ved barns sykdom 	Benefit for childrens illness
Støttetiltak for innvandrere	Support measures for immigrants
Støy 	Noise
Støyskadet	Suffering from noise-unduced hearing loss
Supplerende stønad	Supplementary benefit
Suspendere	Suspend
Svalbardtillegg	Svalbard supplement
Svangerskapspenger	Pregnancy benefit
Svenneprøve 	Journeymans examination
Sykepenger	Sickness benefit
Sykefravær	Absence due to sickness
Sykmelding 	Sick note
Sykmelding (aktiv)	Active sick note
Sykmelding (Avventende)	Reserved sick note
Sykmelding (gradert)	Partial sick note
Sykepleier	Nurse
Syketransport	Ambulance services
Sysselsetting 	Employment
Sysselsettingspolitikk 	Employment policy
Særfradrag	Special dedution
Særlig lønnstillegg	Special pay supplement
Særskilte arbeidsoppgaver 	Spesific duties, spesific tasks
Særregel	Special rule
Særtillegg	Special supplement
Særtilskudd v. barnebidrag	Extraordinary child support
Søke om arbeid 	Look for work, look for a job
Søke om 	Apply for
Søknad om opptak	Application for admission
Søknadsbrev	Application
Søknadsskjema	Application form
Søndagstillegg	Sunday allowance
Varig	Permanent
Varighet	Duration
Varig skade	Permanent injury
Varig sykdom	Chronic illness, disease, disorder
Varig tilrettelagt arbeid	permanent work adjestment
Varighet	Duration
Varsel om oppsigelse	Dismissal notice, redundancy notice
Vedlegg	Attachment, appendix
Vedtak	Letter of decision
Veiledning	Guidance
Veileder	Advisor
Velferdspermisjon	Compassionate leave
Velferdspolitikk 	Welfare policy
Ventedager	Waiting period of XX days
Ventelønn	Interim pay
Ventepenger	Interim pay
Ventetid	Waiting period
Verneombud	Safety officer, safety supervisor
Vernet arbeid	Sheltered employment
Vernet arbeidsplass	Sheltered workplace
Vigselsattest	Marrige certificate
Vikaravtale 	Temporary employment contract
Vikarbyrå	Temporary employment agency
Vilkårene	Terms and conditions, requirements
Virkedag	Business day
Vikariat	Temoprary post
Vikarplass	Temoprary post
Vikartjeneste	Temporary employment service
Virkedag	Business day
Virksomhet	Business, agency, enterprise, activity, undertaking, operation
Vitnemål	Certificate, diploma
Voksenopplæring	Adult education
Vurdere	Assess, consider, evaluate, appraise
Åpningstider 	Opening hours
Årsak	Cause
Årskontroll	Annual verification
Årsmelding	Annual report
Årsrapport	Annual report


Dag foran hellidag 	Day befora a Sunday or public holiday
Daglig leder	Manager
Daglig omsorg	Daily care
Dagpengemottaker	Recipient of unemployment benefit
Dagpenger	Unemployment benefit
Dagpenger (misbruk av) (bevisst)	Unemployment benefit fraud
Dagpenger (misbruk av) (ubevisst)	Misuse of unemployment benefit fraud
Dagsverk	Fulltime equivalent
Databasert	Computer-aided
Databehandling	Data processing
Datapersonell	IT personnel
Deklarasjon 	Declaration
Delt bosted	Joint custody (for shared children)
Delt dagsverk	Split shift
Deltidsansatt	Part-time employee
Deltikstiltak	Part-time employment schemes
Depositum	Deposit
Dialogmøte	Dialogue meeting
Differensiert lønnspolitikk	Policy differential pay
Distrikt	District
Dokumentasjon	Documention
Dødsattest	Death certificate
Garantert lønn under prøvetiden	Garanteed pay during trial period
Garantert minstelønn	Guaranteed minimum wage
Garantikassen for fiskere	Guarantee Fund for Fishermen
Garantilott	Guarantee share
Gebyr	Fee, Charge
Generell lønnsforhøyelse 	General pay increase
Generelt tillegg	General bonus, General Supplement
Geografisk region	Geographical area, region
Gjeldsordning	Debt settlement
Gjenlevendepensjon	Survivor’s pension
Gjenlevendetillegg (uføretrygd og pensjon)	Survivor supplement
Gjenlevende ektefelle 	Surviving spouse
Gjennomsnittlig ukelønn	Average weekly pay
Gjenoppta (ved gjenopptak av dagpenger)	To reapply
Godskive ansiennitet	Recognition og qualifications
Godtgjørelse 	Remuneration
Gradering/ gradert (uttak)	Graded
Gradert barnehageplass	Part time place in kindergarden
Gradert sykmelding 	Graded sick leave
Gravferdsstønad 	Funeral grant
Grensearbeider	Cross-boarder worker
Grunnbeløp 	National insurance basic amount
Grunnlag	Basis, Foundation
Grunnleggende rettighet 	Fundamental right
Grunnpensjon	Basic pension
Grunnstønad 	Basic benefit
Gruppearbeidstillatelse 	Collective work permit
Gyldig 	Valid
Jobbformidling på internett	Internet placement services
Jobbklubb 	Job club
Jobbskapningsprosjekt	Job creation project
Jordmor	Midwife
Juridisk rådgiver	Legal advisor
Juridiske spørsmål	Legal matters
Maksimumsgrense 	Upper limit, maximun limit
Markedsandel 	Marked share
Markedsføring 	Marketing
Markedsrettet	Marked-oriented
Medisinsk stønad 	Medical benefit
Medlem (i folketrygden)	Member of the National Insurance Scheme
Medlemsavgift	Membership fee, subscription
Meklingsattest 	Mediation certificate
Melde (arbeidsløs) 	Register as unemployed
Meldekort 	Employment status form
Meldeplikt 	Obligation to report
Melding	Notification, report, message
Midlertidig ansatte	Temporary staff (flertall), temporary employee (entall)
Midlertidig arbeid	Temporary work
Midlertidig bortfall 	Temporary lay-off
Midlertidig lønnstilskudd	Temporary wage subsidies
Militærtjeneste	Military service, national service
Mindreårig	Minor
Minibank	ATM, cash machine
Minstelønn	Minimum wage
Minste pensjonsnivå	Minimum pension level
Minstepensjon	Minimum pension
Minstepensjonist 	A person receiving minimum level of pension / Minimum pension recipient
Mobilitetsfremmede stønad	Mobility allowance
Mobiltelefon	Mobile phone (UK), Cell phone (US)
Mobiltelefonnummer	Mobile phone number
Modernisering	Modernization
Moms 	VAT
Morsmål	Mother tongue, native tongue, first language
Motta pensjon 	draw a pension
Mødrekvote (mors permisjon)	Maternal quota (maternity leave)
Møtereferat	Minutes
Mål	Objective, goal, target
Målform	Form of Norwegian (Bokmål eller Nynorsk)
Målgruppe	Target group
Pappapermisjon 	Paternity leave
Parafering	Countersigning
Pasientreiser	Patient transport
Pendle	Commute
Pensjon	Pension
Pensjonsbeholdning	Pension reserves
Pensjonsberegning	Pension calculation
Pensjonsberettiget	Entitled to pension
Pensjonsgivende inntekt 	Pensionable income
Pensjonsgrunnlag	Pensionable basis
Pensjonskasse	Pension fund
Pensjonsopptjening	Earning pension
Pensjonsordning	Pension scheme
Personsrettigheter	Pension rights
Permisjon	Leave, leave of absence
Permisjon uten lønn	Unpaid leave
Permittere	Lay-off, make s.o refundant
Permittering	Temporary lay-off
Permitteringsgrad	Degree of lay-off
Permitteringsvarsel	Lay-off notice
Person som kan flyttes, omplasseres	Transferable person
Personlia 	Personal data, personalia
Personalutvelgelse	Staff selection
Personinntekt	Personal income
Personlig ordning	Personal arrangement
Fødselsnummer (fødsels- og personnummer)	National identity number
Personalopplysninger	Personal data
Plasseringstiltak	Placement measures
Pleiepenger 	Attendance allowance
Pleietrengende 	People/ person in need of care
Plikt 	Liability, duty, obligation
Pliktig førstegangstjeneste	Compulsory military service
Politisk asyl	Political asylum
Postgiro	Postal giro
Postnummer	Postcode
Poststed	Town, city
Praksisplass 	Trainee placement
Praksisplass og arbeidstrening	Sponsored traineeship
Praktisk	Practical
Pressebyrå	Press agency
Pressekonferanse	Press conferance
Pressemelding	Press release
Pressen	The press
Pressetalsmann	Press spokeperson
