norwegian;english;llm_suggestion
Statens pensjonskasse;Norwegian Public Service Pension Fund;The National Pension Fund
Statsaksjeselskap;State-owned limited company;State-owned company
Stønadsvilkår;Coditions for receiving benefits;Benefit conditions
Stønad til arbeidstrening;Occupational training allowance;Support for work training
Stønad til barnetilsyn;Child care benefit;Childcare benefit
Stønad til daglige reiser;Daily travel benefit;Support for daily travel
Stønad til enslige foreldre;Single parent benefit;Support for single parents
Stønad til etterlatte;Survivor benefit;Support for survivors
Stønad til fadder/ praktisk hjelp;Practical assistance benefit;Support for godparent/practical help
Stønad til flytteutgifter;Relocation benefit;Assistance for moving expenses
Stønad til gjenlevende ektefelle;Surviving spouse benefit;Survivor's pension
Stønad til hjemreise;Travel allowance for journeys home;Assistance for home travel
Stønad til husholdsutgifter;Household expanses allowance;Support for household expenses
Stønad til skolemateriell;School materials benefit;Support for school materials
Stønad ved arbeidsledighet;Unemployment benefit;Unemployment benefits
Stønad ved barns sykdom;Benefit for childrens illness;Benefit for children's illness
Støyskadet;Suffering from noise-induced hearing loss;Noise damaged
Svangerskapspenger;Pregnancy benefit;Maternity benefits
Svenneprøve;Journeymans examination;Swedish test
Sykepenger;Sickness benefit;Sick pay
Særtilskudd v. barnebidrag;Extraordinary child support;Special grant regarding child support
Søndagstillegg;Sunday allowance;Sunday supplement
Varig skade;Permanent injury;Permanent damage
Varig tilrettelagt arbeid;permanent work adjustment;Permanent adapted work
Ventedager;Waiting period of XX days;Vent days
VentelÃ¸nn;Interim pay;Waiting salary
Ventepenger;Interim pay;Waiting money
Ventetid;Waiting period;Waiting time
Vernet arbeid;Sheltered employment;Protected work
Vernet arbeidsplass;Sheltered workplace;Protected workplace
Vikaravtale;Temporary employment contract;Substitute agreement
Vikarbyrå;Temporary employment agency;Temporary agency
Vilkårene;Terms and conditions, requirements;The conditions
Vikariat;Temoprary post;Substitute position
Vikarplass;Temoprary post;Substitute position
Vikartjeneste;Temporary employment service;Substitute service
Daglig leder;Manager;Managing director
Dagsverk;Fulltime equivalent;Day's work
Databasert;Computer-aided;Database-based
Datapersonell;IT personnel;Data personnel
Delt bosted;Joint custody (for shared children);Shared residence
Delt dagsverk;Split shift;Shared workday
Deltidstiltak;Part-time employment schemes;Participation measures
Garantilott;Guarantee share;Guarantee lot
Generelt tillegg;General bonus, General Supplement;General addition
Grunnstønad;Basic benefit;Basic support
Gruppearbeidstillatelse;Collective work permit;Group work permit
Meldekort;Employment status form;Notification card
Midlertidig bortfall;Temporary lay-off;Temporary loss
Minstepensjonist;A person receiving minimum level of pension / Minimum pension recipient;Minimum pensioner
Mødrekvote (mors permisjon);Maternal quota (maternity leave);Mother's quota (maternity leave)
Pasientreiser;Patient transport;Patient travel
Pensjonsbeholdning;Pension reserves;Pension fund
Fødselsnummer (fødsels- og personnummer);National identity number;Birth number (birth and personal number)
Pleiepenger;Attendance allowance;Care benefits
Pleietrengende;People/ person in need of care;Care-dependent
Privat avtale om bidrag;Private support agreement;Private agreement on contributions
Pålagt overtidsarbeid;Compulsory overtime;Mandatory overtime work
Taushetsplikt;Bound by confidentiality, duty of confidentiality, professional secrecy;Confidentiality obligation
Tillegg;Supplement;Addition
Tilleggsstønader;Supplemental benefits;Supplementary benefits
Tilleggsbidrag;Supplementary support;Supplementary contribution
Tilleggsskatt;Surtax;Additional tax
Tiltakspenger;Employment scheme benefits;Measure money
Tilsettingsforhold;Terms and conditions of employment;Employment conditions
Tilskudd til flytting;lump-sum grant for relocation expenses (i løpende tekst) relocation grant (overskrifter osv.);Moving allowance
Tilsyn med barn;Child care;Supervision of children
Tilsynsutgifter;Child-care costs;Supervision expenses
Tiltak;Measures, schemes;Measure
Tiltakspenger;Benefits while participating in employment schemes;Measure money
Tjenestevei;Through official channels;Service road
Trekkoppgave;End of year certificate;Pull task
Trygd;Social security;Welfare
Trygdeavgift;National Insurance Contributions;Social security tax
Trygderetten;National Insurance Court;The Social Security Court
Trygdetid;Period of national insurance;Benefit period
Yrkesskadetrygd;Occupation inhury benefit;Occupational injury compensation
Arbeids- og velferdsetaten (NAV);The Norwegian Labour and Welfare administration;The Labour and Welfare Administration (NAV)
Arbeids- og velferdsdirektoratet;The Directorate of Labour and Welfare;The Directorate of Labour and Welfare
Arbeids- og tjenestelinjen;Labour and Service Department;Work and service line
NAV Kontaktsenter;NAV Contact Centre;NAV Contact Center
NAV Hjelpemidler og tilrettelegging;NAV Assistive Technology and Adaptions;NAV Aids and Adaptation
NAV Arbeidslivssenter;NAV Work Centre;NAV Labor Market Center
NAV Familie- og pensjonsytelser;NAV Family Benefits and Pensions;NAV Family and Pension Benefits
NAV Klageinstans;NAV Appeals Management Unit;NAV Appeals Authority
Økonomilinjen;Accounting Department;The Economics Program
NAV Økonomi pensjon;NAV Accounting Pensions;NAV Economic Pension
NAV Økonomi stønad;NAV Accounting Benefits;NAV Economic support
NAV Økonomiteneste;NAV Accounting-services;NAV Economic Service
