Adopsjonsbevilling	Adoption order
Oppholdsadresse	Place of residence 
Oppholdstillatelse 	Residence permit 
Opphørsdato	Termination date 
Opplegg	Plan, arrangement 
Opplæring 	Training, education 
Opplæringsspenger	Training allowance
Oppsigelsestid	Notice, period of notice
Opptakskrav 	Admission requirements, entrence requirements
Opptjening (av alderspensjon)	Earning
Opptjeningsperioden 	Qualification period 
Opptjeningstid	Qualifying period 
Opptjene rettigheter	Accumulated rights 
Ordinær arbeidstid 	Normal working hours 
Ordinære arbeidsmarkedstiltak 	Ordinary labour marked scheme 
Ordinære satser	Ordinary rates, standard rates
Organisasjonsnummer	Organization number 
Overgangsperiode	Transition period 
Overgangsregler 	Transitional rules 
Overgangsstønad	Transitional benefit
Overklage	Appeal 
Overtallig arbeidskraft	Surplus staff
Overtidsarbeid	Overtime 
Overtidsgodtgjørelse 	Overtime pay

Sakkyndig 	Ecpert, specialist 
Saksbehandle / behandle (en sak)	Evaluate, consider an application 
Saksbehandlingstid	Processing time
Saksbehandling	Administrative prosedures, case prosessing, consideration of application 
Saksnummer	Case number
Samboer	Cohabitant, cohabiting partner
Samordnet dagsats	Coordinated daily rate
Samordningsplikt	Coordinated
Samordningsregistrert	Coordination register
Samværsavtale 	Visiting arrangements 
Samværsfradrag	Deduction for time spent with the child 
Samværsrett	Visiting rights 
Sats	Rate
Sedvane 	Custom, habit
Selvstendig næringsdrivende	Self-employed
Sekretariat 	Secretariat
Selvangivelse, skattemelding	Tax return
Selvfinansiering	Self-financing 
Selvstendig næringsdrivende	Self-employed person
Separasjonsbevilling	Separation order
Sertifikat	Certificate, licence
Sesongarbeid	Seasonal work, seasonal employment 
Sesongavhengig arbeidsledighet	Seasonally dependant employment 
Sette frem et krav	Submit a claim 
SFO (skolefritidsordning) 	Day-care facilities for schoolchildren, before and after School programs  
Si opp arbeidet	Resign, give notice 
Sikkerhet på arbeidsplassen	Safety at work, job safety
Sivilforsvarstjeneste	Civil defence service 
Sivilingeniør 	Gradueted engineer 
Sivil tjeneste	Compulsory civilian national service
Sivilombudsmannen 	Parlamentary Ombudsman
Skape arbeidsplasser	Create jobs 
Skatt	Tax
Skattbar inntekt 	Taxable income 
Skatteavtale med andre land 	Double taxation agreement 
Skatteetaten	The Norwegian Tax Administration
Skattekontor	Tax office
Skattekort 	Tax card 
Skattetrekk 	Tax deduction 
Skattefradrag	Tax deduction
Skattepliktig (inntekt)	Taxable 
Skattepliktig (person)	Liable to pay tax 
Skiftarbeider	Shift worker
Skifteattest	Certificate of probate
Skillsmissebeviling (om papiret)	Divorce sertificate 
Skillsmissebevilling (om prosessen)	(Grant a) divorce order
Skjønn	Discretionary treatment, settlement, on a individual basis
Skolepenger (tilleggsstønad)	Support for school tuition and fees
Skrankepersonell	Counter staff, counter personnel
Sluttvederlag	Severance pay
Sluttvederlagordningen	Severance Pay Scheme
Sluttårsak 	Reason for termination of employment 
Småbarnstillegg	Infant supplement
Sommertid	Summer time 
Sosialarbeider	Social worker 
Sosiale forhold	Social conditions 
Sosiale tjenester 	Social services 
Sosialhjelp	Social assistance 
Sosialkontor 	Social welfare office 
Språkkunnskaper	Language skills 
Språkundervisning	Language learning, language classes 
Statens helsetilsyn 	Norwegian Board of Health Supervision 
Statens lønnssystem 	Public-sector pay system 
Statens pensjonskasse	Norwegian Public Service Pension Fund 
Statistisk sentralbyrå	Statistics Norway
Statsaksjeselskap	State-owned limited company 
Statsborgerskap	Nationality, citizenship 
Statsforvalteren	The County Governor
Statstjenestemann	Public-sector employee civil servant 
Stedsfortredelsegodgjørelse 	Deputy allowance 
Stillingsbeskrivelse	Job discription 
Stillingsdatabase	Vacancy databse 
Stillingslister	Job advertisements 
Stillingsplassering 	Job placements 
Stipend	Scholarship, grant 
Straffeansvar 	Criminal liability 
Straffesak	Criminalcase
Streik 	Strike 
Studieavgift	Tuition fees
Studieretning	Area of study 
Studieveiledning	Study guidance 
Stønad	Benefit 
Stønadsvilkår 	Coditions for receiving benefits 
Stønadssatser	Benefit rates
Stønadsmottaker	Benefit recipient 
Stønad til arbeidstrening	Occupational training allowance 
Stønad til barnetilsyn	Child care benefit
Stønad til boutgifter	Housing benefit 
Stønad til daglige reiser	Daily travel benefit 
Stønad til enslige foreldre 	Single parent benefit 
Stønad til etterlatte	Survivor benefit 
Stønad til fadder/ praktisk hjelp	Practical assistance benefit 
Stønad til flytteutgifter	Relocation benefit 
Stønad til gjenlevende ektefelle 	Surviving spouse benefit 
Stønad til hjemreise	Travel allowance for journeys home 
Stønad til husholdsutgifter	Household expanses allowance 
Stønad til skolemateriell 	School materials benefit 
Stønad ved arbeidsledighet 	Unemployment benefit 
Stønad ved barns sykdom 	Benefit for childrens illness 
Støttetiltak for innvandrere	Support measures for immigrants 
Støyskadet	Suffering from noise-unduced hearing loss
Supplerende stønad	Supplementary benefit
Suspendere	Suspend 
Svalbardtillegg	Svalbard supplement 
Svangerskapspenger	Pregnancy benefit
Svenneprøve 	Journeymans examination 
Sykepenger	Sickness benefit
Sykefravær	Absence due to sickness 
Sykmelding 	Sick note
Sykmelding (aktiv)	Active sick note
Sykmelding (Avventende)	Reserved sick note
Sykmelding (gradert)	Partial sick note
Syketransport	Ambulance services 
Sysselsetting 	Employment 
Sysselsettingspolitikk 	Employment policy 
Særfradrag	Special dedution 
Særlig lønnstillegg	Special pay supplement 
Særskilte arbeidsoppgaver 	Spesific duties, spesific tasks 
Særregel	Special rule 
Særtillegg	Special supplement 
Særtilskudd v. barnebidrag	Extraordinary child support 
Søke om arbeid 	Look for work, look for a job 
Søknad om opptak	Application for admission
Søknadsskjema	Application form 
Søndagstillegg	Sunday allowance 

Varig skade	Permanent injury 
Varig sykdom	Chronic illness, disease, disorder
Varig tilrettelagt arbeid	permanent work adjestment
Varighet	Duration 
Varsel om oppsigelse	Dismissal notice, redundancy notice
Vedlegg	Attachment, appendix
Vedtak	Letter of decision
Veiledning	Guidance
Veileder	Advisor
Velferdspermisjon	Compassionate leave 
Velferdspolitikk 	Welfare policy
Ventedager	Waiting period of XX days
Ventelønn	Interim pay
Ventepenger	Interim pay
Ventetid	Waiting period
Verneombud	Safety officer, safety supervisor 
Vernet arbeid	Sheltered employment 
Vernet arbeidsplass	Sheltered workplace 
Vigselsattest	Marrige certificate 
Vikaravtale 	Temporary employment contract
Vikarbyrå	Temporary employment agency
Vilkårene	Terms and conditions, requirements
Virkedag	Business day
Vikariat	Temoprary post
Vikarplass	Temoprary post
Vikartjeneste	Temporary employment service 
Virkedag	Business day
Virksomhet	Business, agency, enterprise, activity, undertaking, operation
Voksenopplæring	Adult education 
Åpningstider 	Opening hours 
Årsak	Cause
Årskontroll	Annual verification
Årsmelding	Annual report
Årsrapport	Annual report
Arbeids- og velferdsetaten (Nav)	The Norwegian Labour and Welfare administration
Arbeids- og velferdsdirektoratet	Directorate of Labour and Welfare
Arbeids- og tjenestelinjen	Labour and Service Department
Nav Fylke	Nav County
Nav-kontor	Nav-office
Nav Kontaktsenter	Nav Call and Service Centre
Nav Hjelpemidler og tilrettelegging	Nav Assistive Technology and Adaptions
Nav Arbeidslivssenter	Nav Work Centre
Nav Arbeid og ytelser	Nav Work and Benefits
Nav Familie- og pensjonsytelser	Nav Family Benefits and Pensions
Nav Kontroll	Nav Control
Nav Klageinstans	Nav Appeals
Økonomilinjen	Accounting Department
Nav Økonomi pensjon	Nav Accounting Pensions
Nav Økonomi stønad	Nav Accounting Benefits
Nav Økonomiteneste	Nav Accounting-services
Avdeling	Department
Seksjon	Section
Enhet	Unit
arbeids- og velferdsdirektør	Director General (of the Norwegian Labour and Welfare Service)
avdelingsdirektør	Director of <navn på avdelingen>, Head of <navn på avdelingen>
fylkesdirektør	Nav County Manager / Nav County Director
Nav-leder	Nav Local Manager
seksjonssjef	Head of Section <navn på seksjon>
kontorsjef	Principal Officer
saksbehandler	Executive officer, Officer in charge of case
veileder	Advisor
prosjektleder	Project manager
